Timestamp,Time(s),Mode,Pos_X,Pos_Y,Pos_Z,Yaw,AI_Detections,Alerts
13:35:16.107,2.99,OFFBOARD,1.89,1.87,1.5,0.77,0,None
13:35:16.237,3.12,OFFBOARD,8.35,6.0,1.5,0.05,0,None
13:35:16.336,3.22,OFFBOARD,8.59,6.0,1.5,-0.03,0,None
13:35:16.418,3.3,OFFBOARD,8.8,5.98,1.5,-0.11,0,None
13:35:16.492,3.37,OFFBOARD,8.99,5.96,1.5,-0.18,0,None
13:35:16.564,3.45,OFFBOARD,9.17,5.92,1.5,-0.25,0,None
13:35:16.641,3.52,OFFBOARD,9.35,5.86,1.5,-0.33,0,None
13:35:16.723,3.61,OFFBOARD,9.52,5.8,1.5,-0.4,0,None
13:35:16.797,3.68,OFFBOARD,9.69,5.72,1.5,-0.47,0,None
13:35:16.877,3.76,OFFBOARD,9.85,5.63,1.5,-0.55,0,None
13:35:16.967,3.85,OFFBOARD,10.04,5.5,1.5,-0.63,0,None
13:35:17.045,3.93,OFFBOARD,10.18,5.39,1.5,-0.69,0,None
13:35:17.126,4.01,OFFBOARD,10.33,5.26,1.5,-0.76,0,None
13:35:17.204,4.09,OFFBOARD,10.47,5.12,1.5,-0.82,0,None
13:35:17.276,4.16,OFFBOARD,10.6,4.97,1.5,-0.87,0,None
13:35:17.355,4.24,OFFBOARD,10.73,4.81,1.5,-0.93,0,None
13:35:17.450,4.33,OFFBOARD,10.88,4.59,1.5,-0.99,0,None
13:35:17.526,4.41,OFFBOARD,10.99,4.42,1.5,-1.04,0,None
13:35:17.603,4.49,OFFBOARD,11.1,4.22,1.5,-1.08,0,None
13:35:17.695,4.58,OFFBOARD,11.22,3.98,1.5,-1.13,0,None
13:35:17.769,4.65,OFFBOARD,11.32,3.77,1.5,-1.17,0,None
13:35:17.849,4.73,OFFBOARD,11.41,3.54,1.5,-1.2,0,None
13:35:17.941,4.82,OFFBOARD,11.5,3.27,1.5,-1.24,0,None
