Timestamp,Mode,X,Y,Z,Yaw,Targets,Alert
2026-07-27 10:00:00,OFFBOARD,0.0,0.0,1.5,0.0,0,
2026-07-27 10:00:01,OFFBOARD,1.0,0.0,1.5,0.0,0,
2026-07-27 10:00:02,OFFBOARD,2.0,0.0,1.5,0.0,0,
2026-07-27 10:00:03,OFFBOARD,3.0,0.5,1.5,45.0,0,
2026-07-27 10:00:04,OFFBOARD,4.0,1.0,1.5,45.0,0,
2026-07-27 10:00:05,OFFBOARD,5.0,1.5,1.5,90.0,0,
2026-07-27 10:00:06,OFFBOARD,5.0,2.5,1.5,90.0,1,ARMED
2026-07-27 10:00:07,OFFBOARD,6.0,3.5,1.5,90.0,1,ARMED
2026-07-27 10:00:08,OFFBOARD,7.0,4.5,1.5,90.0,0,
2026-07-27 10:00:09,OFFBOARD,8.0,5.0,1.5,90.0,0,
2026-07-27 10:00:10,OFFBOARD,9.0,5.0,1.5,0.0,0,
2026-07-27 10:00:11,OFFBOARD,10.0,5.0,1.5,0.0,0,
2026-07-27 10:00:12,OFFBOARD,11.0,5.0,1.5,0.0,0,
2026-07-27 10:00:13,OFFBOARD,12.0,5.0,1.5,0.0,1,FIRE
2026-07-27 10:00:14,OFFBOARD,13.0,5.0,1.5,0.0,1,FIRE
2026-07-27 10:00:15,OFFBOARD,14.0,5.0,1.5,0.0,1,FIRE
2026-07-27 10:00:16,OFFBOARD,14.0,4.0,1.5,-90.0,0,
2026-07-27 10:00:17,OFFBOARD,14.0,3.0,1.5,-90.0,0,
2026-07-27 10:00:18,OFFBOARD,14.0,2.0,1.5,-90.0,0,
2026-07-27 10:00:19,OFFBOARD,14.0,1.0,1.5,-90.0,0,
2026-07-27 10:00:20,RTL,14.0,0.0,3.0,-90.0,0,
2026-07-27 10:00:21,RTL,10.0,0.0,3.0,-90.0,0,
2026-07-27 10:00:22,RTL,5.0,0.0,3.0,-90.0,0,
2026-07-27 10:00:23,RTL,0.0,0.0,3.0,-90.0,0,
2026-07-27 10:00:24,LAND,0.0,0.0,0.0,0.0,0,
